community_id,drug_id,drug_name,n_target,target_list,target_coverage
21,100001993,,8,"[1128, 1129, 1131, 1132, 1133, 2847, 3269, 84539]",0.0010262989095574087
21,100002370,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100002564,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100002684,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100002725,,13,"[1128, 1129, 1131, 1132, 1133, 3269, 3274, 3356, 3757, 6530, 6531, 6532, 59340]",0.001667735728030789
21,100002800,,19,"[150, 151, 152, 1128, 1131, 1132, 1133, 1814, 2064, 2099, 3357, 3358, 3362, 3757, 5742, 6530, 6531, 6532, 10682]",0.0024374599101988454
21,100002905,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100003042,,11,"[1128, 1129, 1131, 1132, 1133, 1814, 3269, 3274, 3356, 3357, 3358]",0.0014111610006414367
21,100003100,,12,"[1128, 1129, 1131, 1132, 1133, 3176, 3269, 3356, 3357, 3358, 3757, 59340]",0.0015394483643361128
21,100003219,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100003241,,7,"[1128, 1129, 1131, 1132, 1133, 3269, 55244]",0.0008980115458627325
21,100003494,,5,"[1128, 1129, 1131, 1132, 1133]",0.0006414368184733803
21,100003623,,7,"[1066, 1128, 1129, 1131, 1132, 1133, 3269]",0.0008980115458627325
21,100003746,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100004034,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100004057,,2,"[1129, 1131]",0.0002565747273893522
21,100004120,,5,"[1128, 1129, 1131, 1132, 1133]",0.0006414368184733803
21,100004601,,15,"[150, 151, 1128, 1129, 1131, 1132, 1133, 1565, 3269, 3356, 3358, 3362, 3757, 6530, 6532]",0.001924310455420141
21,100004634,,10,"[1128, 1129, 1131, 1132, 1133, 1557, 1814, 3269, 3357, 6531]",0.0012828736369467607
21,100004746,,6,"[1128, 1131, 1132, 1133, 1565, 3757]",0.0007697241821680564
21,100004819,,8,"[1128, 1129, 1131, 1132, 1133, 1553, 1571, 3269]",0.0010262989095574087
21,100004992,,25,"[140, 150, 1128, 1129, 1131, 1132, 1133, 1565, 2587, 3061, 3269, 3274, 3350, 3356, 3357, 3358, 3359, 3362, 3363, 3757, 6531, 6532, 6915, 11255, 59340]",0.003207184092366902
21,100005184,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100005512,,7,"[1128, 1129, 1131, 1132, 1133, 3269, 3757]",0.0008980115458627325
21,100005572,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100005593,,8,"[1128, 1129, 1131, 1132, 1133, 1557, 1559, 3269]",0.0010262989095574087
21,100006726,,12,"[146, 150, 1128, 1129, 1131, 1132, 1133, 3269, 3356, 3357, 3358, 6531]",0.0015394483643361128
21,100010660,,11,"[1128, 1129, 1131, 1132, 1133, 1565, 3269, 3356, 3357, 3358, 6530]",0.0014111610006414367
21,100060830,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100060864,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100072054,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,100124087,,15,"[151, 1128, 1129, 1131, 1132, 1133, 1814, 3269, 3274, 3356, 3357, 3358, 3362, 6530, 6532]",0.001924310455420141
21,100154058,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,10660,,11,"[1128, 1129, 1131, 1132, 1133, 1565, 3269, 3356, 3357, 3358, 6530]",0.0014111610006414367
21,111228026,,5,"[1128, 1129, 1131, 1132, 1133]",0.0006414368184733803
21,111519069,,3,"[1128, 1129, 1131]",0.0003848620910840282
21,11519069,,3,"[1128, 1129, 1131]",0.0003848620910840282
21,124087,,15,"[151, 1128, 1129, 1131, 1132, 1133, 1814, 3269, 3274, 3356, 3357, 3358, 3362, 6530, 6532]",0.001924310455420141
21,154058,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,154417,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,1548952,,18,"[150, 151, 152, 1128, 1131, 1132, 1133, 1814, 2064, 2099, 3357, 3358, 3362, 5742, 6530, 6531, 6532, 10682]",0.002309172546504169
21,1993,,8,"[1128, 1129, 1131, 1132, 1133, 2847, 3269, 84539]",0.0010262989095574087
21,21855,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,2370,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,2381,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,2564,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,2725,,9,"[1128, 1129, 1131, 1132, 1133, 3269, 3356, 3757, 59340]",0.0011545862732520846
21,2905,,6,"[1128, 1129, 1131, 1132, 1133, 3269]",0.0007697241821680564
21,3042,,11,"[1128, 1129, 1131, 1132, 1133, 1814, 3269, 3274, 3356, 3357, 3358]",0.0014111610006414367
21,3055,,8,"[1128, 1129, 1131, 1132, 1133, 1565, 1814, 3356]",0.0010262989095574087
21,3100,,12,"[1128, 1129, 1131, 1132, 1133, 3176, 3269, 3356, 3357, 3358, 3757, 59340]",0.0015394483643361128
