node,degree,weighted_degree,clustering_coefficient,betweenness_centrality,closeness_centrality
Drug_100004171,139,133.6603735110098,0.9524352030029688,0.0,0.23586627348990782
Drug_100150311,0,0.0,0.0,0.0,0.0
Drug_753,3,1.5519733241183644,0.34911155808122135,4.024112481992097e-06,0.006012024048096192
Drug_4178,3,1.5313802188193324,0.0,0.0006553870260784153,0.1244978496613397
Drug_100073658,4,2.6007775287727863,0.6300777007025884,0.0,0.011594617807042658
Drug_100016124,0,0.0,0.0,0.0,0.0
Drug_100000942,6,4.433621331751931,0.6124688861070807,0.000611665097262799,0.17050064254068675
Drug_100002022,2,0.9082482904638629,0.43679023236814923,0.0,0.004008016032064128
Drug_5329102,5,3.167660263918199,0.6430911931029071,0.0,0.0125250501002004
Drug_2145,16,12.909032917611759,0.6743834288840522,0.0005445041619769474,0.17867313574517454
Drug_3672,4,2.599460403065584,0.45724531561585996,0.00014486804935171549,0.018694104627164778
Drug_3676,2,1.2071067811865475,0.6299605249474364,0.0,0.012043317404038847
Drug_3746,26,22.38223653661461,0.8044860589092125,9.585448118472197e-06,0.15519038076152306
Drug_5327147,1,1.0000000000000002,0.0,0.0,0.002004008016032064
Drug_100000727,3,1.8736150282111785,0.5726120725093272,0.0,0.08404430434697865
Drug_100002083,139,134.00103502456489,0.9540395406548747,0.0,0.23586627348990782
Drug_100003154,10,8.85,0.8467420019575409,0.0,0.021167334669338678
Drug_100000946,0,0.0,0.0,0.0,0.0
Drug_100002781,139,131.86786088104643,0.9440038305072691,0.0,0.23586627348990782
Drug_5533,139,129.20692362562068,0.9312782621442919,0.0,0.23586627348990782
Drug_100093860,0,0.0,0.0,0.0,0.0
Drug_100027991,139,134.00103502456489,0.9540395406548747,0.0,0.23586627348990782
Drug_2564,26,22.38223653661461,0.8044860589092128,9.585448118472197e-06,0.15519038076152306
Drug_16157882,2,1.968245836551854,0.9787169102922157,0.0,0.004008016032064128
Drug_100001065,15,11.336716902949767,0.7063955390635424,0.0002466254573382953,0.17850536754259694
Drug_3961,139,132.41607792819013,0.9465522253181898,0.0,0.23586627348990782
Drug_100003003,27,24.015801525910238,0.8472095208276335,0.000727805457673409,0.18859942106435093
Drug_2405,2,1.263710176427684,0.5848035476425729,0.0,0.11706170962614884
Drug_10531,139,133.60099109078882,0.952152285406718,0.0,0.23586627348990782
Drug_4189,15,11.765028417511814,0.7227208166149819,0.0002466254573382953,0.17850536754259694
Drug_6323490,1,0.9999999999999998,0.0,0.0,0.002004008016032064
Drug_18381,9,6.294479698090856,0.5448499344812225,0.0042736074558755765,0.1289743666437352
Drug_100003392,27,24.342481505589635,0.8545606948555193,0.000727805457673409,0.18859942106435093
Drug_3675,6,2.8140065022887333,0.21109799992555903,0.012195743562090706,0.1282781487401253
Drug_92721,9,7.356309303335816,0.7361440623755304,0.00018261144918281486,0.17800394797084804
Drug_100004058,6,4.393492614906148,0.7257738075146076,0.0,0.18674677449200955
Drug_64929,6,4.179272336606653,0.6097036653001336,1.6096449927968388e-06,0.1286253155838063
Drug_4158,7,5.114540678034328,0.6145161514737123,0.000944830071660715,0.19578601074445492
Drug_100005401,139,133.71325012924302,0.9526887885610456,0.0,0.23586627348990782
Drug_100000206,0,0.0,0.0,0.0,0.0
Drug_4184,140,122.77102972965585,0.8851549451898851,0.012468260885384379,0.24530092442950413
Drug_100002244,5,3.046673998565542,0.27434718936951596,0.0008209189463263877,0.01988103190508
Drug_5002,139,125.40403111385632,0.913001059872716,0.0,0.23586627348990782
Drug_100004993,1,0.6546536707079772,0.0,0.0,0.002004008016032064
Drug_119828,4,2.3328316786640846,0.10499342082457273,0.0005472792975509251,0.015463024815062223
Drug_100060853,140,128.32162757953827,0.9122215503574543,0.01254206440094985,0.26625800620849543
Drug_441336,7,4.015747534559559,0.6067183628346418,0.0,0.10722403634115382
Drug_23897,139,133.85005564031937,0.9533392658045441,0.0,0.23586627348990782
Drug_105327147,1,1.0000000000000002,0.0,0.0,0.002004008016032064
Drug_100001206,139,128.9533681530233,0.930069686377811,0.0,0.23586627348990782
Drug_2162,4,3.0052583237328765,0.7579877126747528,0.0,0.015394425214064492
Drug_5472,15,12.218108308740897,0.7396852915368882,0.0002466254573382953,0.17850536754259694
Drug_100003308,8,4.660928566753136,0.17837046373639356,0.0015855003179048861,0.024086634808077694
Drug_100004885,139,134.00103502456489,0.9540395406548745,0.0,0.23586627348990782
Drug_124826799,6,4.218405993963184,0.5434798866797338,1.8779191582629783e-05,0.01336005344021376
Drug_2474,7,3.942770774288711,0.2667798823182618,0.003498975280309922,0.13047921512207666
Drug_5452,139,130.936550684687,0.9395743803273158,0.0,0.23586627348990782
Drug_109871419,1,0.9999999999999998,0.0,0.0,0.002004008016032064
Drug_4066,26,22.38223653661461,0.8044860589092128,9.585448118472197e-06,0.15519038076152306
Drug_100001727,9,7.356309303335816,0.7361440623755304,0.00018261144918281486,0.17800394797084804
Drug_100004473,4,2.400891862868636,0.4055952935572924,0.00017706094920765225,0.013916722333556002
Drug_3981,139,134.00103502456489,0.9540395406548747,0.0,0.23586627348990782
Drug_100002443,139,133.60099109078882,0.9521522854067185,0.0,0.23586627348990782
Drug_3715,139,121.92678905342294,0.8962007324511532,0.0,0.23586627348990782
Drug_100001986,10,8.85,0.8467420019575409,0.0,0.021167334669338678
Drug_100014917,15,10.630591858311803,0.6791241318726555,0.0002466254573382953,0.17850536754259694
Drug_441383,3,1.4073543509174762,0.16939939280247554,0.0007405484775888236,0.14805935859257455
Drug_4735,9,7.023975946314538,0.7171720109790715,0.00018261144918281486,0.17800394797084804
Drug_100003202,11,9.803312865373043,0.8410826922484725,0.0021005867155998626,0.13805970692292355
Drug_100005978,3,2.6016600867025317,0.8361408031664208,0.0,0.006012024048096192
Drug_2370,26,22.38223653661461,0.8044860589092125,9.585448118472197e-06,0.15519038076152306
Drug_100003404,7,5.077545597740029,0.6098708900385498,0.000944830071660715,0.19578601074445492
Drug_767,0,0.0,0.0,0.0,0.0
Drug_8223,139,133.60099109078882,0.9521522854067187,0.0,0.23586627348990782
Drug_100003929,4,2.476632792417756,0.5980006458668153,0.0,0.011594617807042658
Drug_5281037,139,134.00103502456489,0.9540395406548747,0.0,0.23586627348990782
Drug_5572,26,22.38223653661461,0.8044860589092128,9.585448118472197e-06,0.15519038076152306
Drug_5073,139,130.94861403383348,0.9396346029760423,0.0,0.23586627348990782
Drug_43008,139,133.58577660025534,0.9520814814215188,0.0,0.23586627348990782
Drug_3519,139,134.00103502456489,0.9540395406548747,0.0,0.23586627348990782
Drug_100000699,7,4.239007382600901,0.6167429373544986,0.0,0.10722403634115382
Drug_92253,7,3.942770774288711,0.2667798823182618,0.003498975280309922,0.13047921512207666
Drug_100208908,0,0.0,0.0,0.0,0.0
Drug_111020241,3,2.3522468075656264,0.7519360855068654,0.0,0.014735353059059295
Drug_5454,139,132.7614838545408,0.9482128590262489,0.0,0.23586627348990782
Drug_100003488,5,2.9082482904638622,0.3506953540306998,0.00032192899855936776,0.017395902916945
Drug_100002818,140,122.60124854715284,0.8842876187694892,0.012468260885384379,0.24530092442950413
Drug_100004095,139,128.06124031305038,0.9257975183376853,0.0,0.23586627348990782
Drug_4636,139,133.23547688394297,0.9504464213864976,0.0,0.23586627348990782
Drug_100005525,3,2.4264014327112204,0.7110108899618027,0.0,0.013916722333556002
Drug_100003916,139,133.85005564031937,0.9533392658045439,0.0,0.23586627348990782
Drug_5284570,3,2.8164965809277263,0.915720309824199,0.0,0.006012024048096192
Drug_100004680,3,1.8673091557521513,0.21954458533611643,1.6096449927968387e-05,0.006012024048096192
Drug_100003706,3,1.587713240271471,0.2311204247835449,0.00014218530769705408,0.12724780216389942
Drug_100003325,139,133.23365002588667,0.9504202060959729,0.0,0.23586627348990782
Drug_219078,13,8.037299250305198,0.4415298283614519,0.00010865103701378661,0.026052104208416832
Drug_100004673,5,4.707106781186546,0.9174802103936395,0.0,0.01002004008016032
Drug_942,6,4.5079239466507195,0.6175223682434895,0.000611665097262799,0.17050064254068675
Drug_100004168,139,126.38084058206638,0.9177274442671588,0.0,0.23586627348990782
Drug_3998,10,8.85,0.8467420019575409,0.0,0.021167334669338678
Drug_100002826,14,7.939366712559032,0.19733464540222143,0.0586930236875928,0.22822114817871036
Drug_100060878,139,134.00103502456489,0.9540395406548745,0.0,0.23586627348990782
Drug_100002806,16,12.861863819330011,0.6729373777630967,0.0005445041619769474,0.17867313574517454
Drug_100023925,11,5.509538049518568,0.3437284212506255,0.00018731836304839,0.15646766784598
Drug_100005487,139,134.00103502456489,0.9540395406548747,0.0,0.23586627348990782
Drug_3661,27,21.79550104011051,0.7346279690960962,0.004653523033239624,0.19087170324584912
Drug_100010100,139,133.29704665043414,0.9507248076102834,0.0,0.23586627348990782
Drug_3001028,7,4.239007382600901,0.6167429373544986,0.0,0.10722403634115382
Drug_71771,1,0.7071067811865475,0.0,0.0,0.002004008016032064
Drug_100156326,139,130.89653776647296,0.9393827632992714,0.0,0.23586627348990782
Drug_5280363,139,129.32651014060855,0.9318700030263024,0.0,0.23586627348990782
Drug_4205,140,128.54482860521887,0.9132807353862905,0.01254206440094985,0.26625800620849543
Drug_100000119,4,2.099017858227156,0.5732263164989234,0.0,0.09704349996573032
Drug_21109,0,0.0,0.0,0.0,0.0
Drug_2088,5,4.707106781186546,0.9174802103936395,0.0,0.01002004008016032
Drug_154256,1,0.9999999999999998,0.0,0.0,0.002004008016032064
Drug_100060612,139,134.00103502456489,0.9540395406548751,0.0,0.23586627348990782
