node,closeness_centrality
Drug_100001978,0.2725655895102692
Drug_9880,0.2721417751825565
Drug_28864,0.27156117791199635
Drug_5359272,0.2699381980555722
Drug_4171,0.26947063766633045
Drug_71360,0.2692633525604333
Drug_100003938,0.2686949593771355
Drug_71348,0.2682316922057956
Drug_100002159,0.2679237338909784
Drug_4636,0.2673099338133358
Drug_100004976,0.2672589107299586
Drug_100065014,0.2672589107299586
Drug_100005078,0.26720790712104064
Drug_5282381,0.26720790712104064
Drug_27400,0.2671059582820017
Drug_3981,0.26685142620816715
Drug_100002781,0.26644518236236975
Drug_100003157,0.2659391136399341
Drug_23897,0.26588861247896944
Drug_100005454,0.26583813049444716
Drug_4926,0.2657876676754467
Drug_5454,0.26563639410249534
Drug_100023897,0.2654349636614698
Drug_129211,0.2654349636614698
Drug_100004011,0.2652840911925451
Drug_5487,0.26513339013714315
Drug_100036523,0.264982860203303
Drug_100156326,0.2649327215353364
Drug_51263,0.26478241931056223
Drug_100003340,0.264732356459492
Drug_2729,0.264732356459492
Drug_5401,0.26438244586749493
Drug_100003827,0.2642826412446684
Drug_2239,0.2641829119460855
Drug_100002995,0.2641829119460855
Drug_3083544,0.2641330755167427
Drug_4631,0.26393391768411933
Drug_5362436,0.26383445134996286
Drug_100032800,0.2636853923379007
Drug_100003250,0.2635365016589974
Drug_10531,0.26348690879078907
Drug_3372,0.26343733458405516
Drug_4976,0.2632887238274263
Drug_60846,0.26318974310418286
Drug_163091,0.26318974310418286
Drug_5095,0.2630908367745684
Drug_100008230,0.2628932469609938
Drug_3827,0.26259741810094767
Drug_100003869,0.2624989563768753
Drug_3410,0.2624497531985479
Drug_657237,0.26240056846219134
Drug_4011,0.2621549210474168
Drug_100004436,0.2621058467454611
Drug_4736,0.2621058467454611
Drug_439302,0.26205679081307376
Drug_3519,0.2620077532399426
Drug_100004253,0.2620077532399426
Drug_10836,0.261958734015763
Drug_100004927,0.261958734015763
Drug_100071360,0.26190973313023813
Drug_100005152,0.26190973313023813
Drug_100027400,0.2617139127690193
Drug_100010100,0.26161611235318627
Drug_4830,0.2615183850045299
Drug_39860,0.26146954870480915
Drug_9833444,0.261371930803482
Drug_100054373,0.2613231491814582
Drug_100005401,0.26127438576492873
Drug_100002092,0.2611282046464478
Drug_100002443,0.26103084140832455
Drug_657180,0.26098218701104436
Drug_9825285,0.2608849326093261
Drug_1978,0.2608849326093261
Drug_100060612,0.2607877506638579
Drug_100002476,0.2606906410936982
Drug_5709,0.2606421134240977
Drug_27991,0.2605936038180259
Drug_100003915,0.26044818328018104
Drug_54384,0.2603997458274601
Drug_2477,0.2603513263879236
Drug_3749,0.2603513263879236
Drug_100005358,0.2601578285608051
Drug_100158781,0.2601578285608051
Drug_100003372,0.2601094990366437
Drug_3157,0.2601094990366437
Drug_2783,0.2600611874655002
Drug_151171,0.2600611874655002
Drug_100071348,0.26001289383737286
Drug_115237,0.25996461814226757
Drug_100039860,0.25991636037019733
Drug_100051263,0.25991636037019733
Drug_24965990,0.25991636037019733
Drug_3345,0.25991636037019733
Drug_100104865,0.2598681205111828
Drug_5775,0.259819898555252
Drug_100213046,0.25967534000635256
Drug_100003519,0.25967534000635256
Drug_100004828,0.25967534000635256
Drug_2771,0.2595790569733506
Drug_5282411,0.2595790569733506
Drug_100005775,0.25948284531398313
Drug_2476,0.2593867049489168
Drug_100003066,0.2593867049489168
Drug_109825285,0.2592426279048793
Drug_100002369,0.25919463778494134
Drug_100005524,0.25914666542925285
Drug_100060878,0.25914666542925285
Drug_100002914,0.25905077397118464
Drug_6918554,0.2590028548491034
Drug_100005650,0.2590028548491034
Drug_5533,0.2589070697696474
Drug_3954,0.2589070697696474
Drug_8230,0.25885920379261473
Drug_2369,0.2588113555109525
Drug_100002083,0.2588113555109525
Drug_5959,0.25871571199450355
Drug_100151171,0.25866791674011697
Drug_3066,0.2586201391419012
Drug_100002540,0.2585723791900744
Drug_100057537,0.2585246368748621
Drug_41693,0.25847691218649677
Drug_5284594,0.25842920511521833
Drug_5281037,0.2583338437849175
Drug_100004639,0.25828618950641086
Drug_2435,0.25823855280602237
Drug_100000298,0.25823855280602237
Drug_100002170,0.25819093367402784
Drug_2083,0.25814333210071033
Drug_100027991,0.258000632635757
Drug_5467,0.2579531012001203
Drug_2761,0.2579055872746828
Drug_100123597,0.25785809084977035
Drug_4917,0.2578106119157159
Drug_100000159,0.2578106119157159
Drug_838,0.2577631504628595
Drug_100004428,0.2577157064815485
Drug_104865,0.2576682799621371
Drug_3168,0.25752610507895035
Drug_5284604,0.2574787483108225
Drug_8223,0.2573840870062965
Drug_2828,0.2572422254848894
Drug_100068613,0.25714773798241564
Drug_100005002,0.2569589710615256
Drug_638678,0.25686469149041513
Drug_3151,0.2567234017811245
Drug_100004635,0.25667633974596754
Drug_100005095,0.2565352571114425
Drug_116131215,0.25625355660948995
Drug_100003954,0.25611293823198333
Drug_100004748,0.2560660997282833
Drug_100115237,0.2560192783533101
Drug_100002771,0.2560192783533101
Drug_158781,0.2560192783533101
Drug_5311065,0.2560192783533101
Drug_5078,0.2560192783533101
Drug_3386,0.2558789169068445
Drug_3916,0.2558321639529057
Drug_100004163,0.2557854280807916
Drug_60795,0.2556453228618319
Drug_100003251,0.2556453228618319
Drug_4946,0.2556453228618319
Drug_2170,0.25545875448171007
Drug_4205,0.2552259265975671
Drug_106433117,0.2550864334695305
Drug_2215,0.25494709273748234
Drug_100005771,0.254900679649418
Drug_3155,0.2547615417238452
Drug_100004631,0.25466886746348727
Drug_100003158,0.25462255561270286
Drug_100059768,0.2545299824239689
Drug_443884,0.2542988436822109
Drug_441277,0.2541142347212801
Drug_4449,0.2540681243538837
Drug_2763,0.2540220307173899
Drug_100003151,0.25397595380269417
Drug_100003916,0.2538378232984505
Drug_59226,0.2538378232984505
Drug_5073,0.253791813180035
Drug_5357,0.25347020878244986
Drug_8226,0.25319519589769496
Drug_5378,0.2531494184260085
Drug_2541,0.2531494184260085
Drug_4140,0.2531036575043841
Drug_3340,0.25305791312384834
Drug_5288826,0.25301218527543423
Drug_2216,0.25287510083334896
Drug_100002215,0.25287510083334896
Drug_213046,0.25278379370179693
Drug_100003410,0.2527381648581684
Drug_100003911,0.2526925524840738
Drug_5311068,0.2525558140898725
Drug_2585,0.2525558140898725
Drug_110465263,0.25246473734479863
Drug_100002366,0.25246473734479863
Drug_11658859,0.25237372626428495
Drug_100004885,0.2523282453260503
Drug_100125017,0.2522827807773429
Drug_31100,0.25223733260930514
Drug_124965990,0.25205570356692225
Drug_100003168,0.252010337169592
Drug_2540,0.2518743359083024
Drug_5284596,0.2518290347687505
Drug_5152,0.2516479930471339
Drug_100005656,0.2515575697654066
Drug_106918313,0.25151238248863894
Drug_100077998,0.2514672114429334
Drug_43008,0.2514672114429334
Drug_125017,0.2514672114429334
Drug_100004422,0.2514672114429334
Drug_100104849,0.25142205661954625
Drug_2366,0.25142205661954625
Drug_2092,0.25133179560478425
Drug_2352,0.25133179560478425
Drug_2159,0.25128668939595356
Drug_100060146,0.2512415993745295
Drug_216237,0.2511965255318
Drug_4828,0.25115146785905884
Drug_100216237,0.25115146785905884
Drug_4436,0.25106140098874896
Drug_4850,0.25101639177379936
Drug_100002477,0.25097139869407653
Drug_5524,0.25097139869407653
Drug_123668479,0.25097139869407653
Drug_100002435,0.25092642174090557
Drug_5311507,0.25092642174090557
Drug_100003749,0.2508365161795509
Drug_100004171,0.2507466750204608
Drug_119569,0.2507466750204608
Drug_3343,0.2506568981944599
Drug_6005,0.2506120338847777
Drug_4639,0.2506120338847777
Drug_100003779,0.25056718563247193
Drug_5284603,0.25056718563247193
Drug_5280360,0.24998561566046293
Drug_100003325,0.24998561566046293
Drug_100004140,0.24980721379380075
Drug_100002216,0.24980721379380075
Drug_5358,0.2496735794069638
Drug_100042955,0.2496290663780091
Drug_3869,0.24954008791913262
Drug_100012453,0.2493179190374382
Drug_100001206,0.2492735327246311
Drug_951,0.2492291622132882
Drug_100002541,0.24918480749497293
Drug_100032281,0.24900754638347022
Drug_125074886,0.24883053728705404
Drug_100002249,0.24883053728705404
Drug_3779,0.2486537796686651
Drug_5815,0.24830101672535076
Drug_100005487,0.24830101672535076
Drug_2249,0.24821298232835548
Drug_5825,0.24816898853496153
Drug_5002,0.24816898853496153
Drug_65014,0.24794925328745407
Drug_100004768,0.24794925328745407
