node,pagerank
Drug_2451,0.0011163319328423523
Drug_100054454,0.0010476739862206716
Drug_151508717,0.0010319344208751054
Drug_100644241,0.0010257696929347948
Drug_110182969,0.0010140112077686254
Drug_100004976,0.001009860053554841
Drug_3981,0.00100119119754494
Drug_3158,0.001000885079936465
Drug_3447,0.0009876628172161331
Drug_100002678,0.0009865962331914214
Drug_4495,0.0009720772839149985
Drug_4171,0.0009702590787074707
Drug_5353980,0.0009678928153063906
Drug_27400,0.0009664962007105775
Drug_100006238,0.0009616910833780663
Drug_1727,0.0009598030924950746
Drug_100001978,0.0009595025819246363
Drug_100132971,0.000937768731389605
Drug_100004614,0.0009348470688832401
Drug_3348,0.0009307947891369452
Drug_103062316,0.0009260053816041934
Drug_116158473,0.0009253659300322749
Drug_24826799,0.0009225304848978281
Drug_100041774,0.0009223613474500115
Drug_100084003,0.000920720581460844
Drug_100002145,0.0009200515802817387
Drug_3308,0.0009197129666949778
Drug_71360,0.0009194101240590591
Drug_100004889,0.0009191713764694811
Drug_100003658,0.0009158751459618246
Drug_10531,0.0009128833928076312
Drug_111234049,0.0009114939860645821
Drug_28864,0.0009080570088913042
Drug_51508717,0.0009066021543468565
Drug_116134956,0.0009050704637152714
Drug_8378,0.0009045988299075075
Drug_54454,0.0009043159948451324
Drug_60877,0.000903883984405777
Drug_100004935,0.0009035645412505588
Drug_100005078,0.0009033236954871281
Drug_116129682,0.0009029437582467355
Drug_2244,0.0009021894859513596
Drug_439302,0.00089648154772956
Drug_5359272,0.0008963580225471136
Drug_3658,0.0008962530587936863
Drug_4935,0.0008961974943145503
Drug_6238,0.0008931189302323517
Drug_247,0.000891860177915817
Drug_100023897,0.0008910998055662021
Drug_71348,0.0008860226619391218
Drug_100010100,0.0008857190460907888
Drug_9926791,0.0008851978983011224
Drug_3062316,0.0008850351517313363
Drug_119182,0.0008846264035800729
Drug_100008230,0.0008845129653176232
Drug_441277,0.0008832065406095598
Drug_657180,0.0008828946084270561
Drug_100002159,0.000881879625688875
Drug_2215,0.00088144960510069
Drug_4830,0.0008804620470341928
Drug_100003365,0.0008796456647580476
Drug_100002092,0.0008789515614964891
Drug_10182969,0.0008773262115123707
Drug_4413,0.0008772475765818023
Drug_5213,0.0008769624713655628
Drug_100003916,0.0008767579684738159
Drug_5282381,0.0008761686729835778
Drug_657237,0.0008749313984853651
Drug_5487,0.0008747325480739257
Drug_100003372,0.0008729734941881575
Drug_100068740,0.0008712151638529005
Drug_100004454,0.0008699034794248737
Drug_100036523,0.0008685921326770649
Drug_60606,0.0008683219599903136
Drug_100003348,0.0008677623987710047
Drug_100005508,0.0008674819199161152
Drug_23897,0.0008670178328593941
Drug_24965990,0.0008659340054667437
Drug_2476,0.0008654519743300652
Drug_100004235,0.0008648957107332703
Drug_3345,0.0008642999928218961
Drug_25096,0.0008639862623696815
Drug_100104865,0.0008639769996661715
Drug_100003869,0.000862549485414837
Drug_100032800,0.0008611578531336718
Drug_100003157,0.000859796900784283
Drug_100122316,0.0008597277508204063
Drug_100003519,0.0008589341928522682
