node,betweenness_centrality
Drug_9880,0.06803940120553578
Drug_100002914,0.06486918172930718
Drug_2763,0.06296508299942759
Drug_100016362,0.05684757571644665
Drug_100219078,0.05330820762282059
Drug_446284,0.04645174742366393
Drug_100004485,0.04404736380022437
Drug_100001978,0.03645522909179605
Drug_3965,0.034991092568441656
Drug_100005396,0.03314272675593113
Drug_44093,0.03313026880969569
Drug_100077998,0.03303912909776275
Drug_151508717,0.03184447762192231
Drug_100003241,0.03176841858174806
Drug_896,0.029798096032406393
Drug_100216210,0.029001443154719166
Drug_100071301,0.028267735689589943
Drug_100003750,0.0272140557106242
Drug_105001396,0.02580630778601969
Drug_100644241,0.025203736597052974
Drug_126941,0.024171038422273233
Drug_100060787,0.02359010471887333
Drug_100004240,0.021633551478528728
Drug_100005718,0.02159289923291835
Drug_644241,0.021534543590026035
Drug_100003658,0.02096934623976563
Drug_100000853,0.020309730770668222
Drug_25151504,0.01862659666612245
Drug_100130881,0.018568241023230136
Drug_4036,0.01848955925753263
Drug_100004004,0.018368913883463123
Drug_100054688,0.01775978588068828
Drug_100002678,0.01768175979637159
Drug_4004,0.017494890602840017
Drug_100073658,0.017243764633988818
Drug_100005734,0.017000506841707366
Drug_444795,0.016797901295036295
Drug_100004976,0.016769051314280543
Drug_3784,0.016511368531621218
Drug_100003440,0.015747499722974616
Drug_4170,0.015539648725257042
Drug_54687,0.01446760966762855
Drug_2794,0.014329260896277106
Drug_100002267,0.01387487369937402
Drug_3883,0.013641451127804759
Drug_100002215,0.013417208095566872
Drug_100002794,0.01300281746289335
Drug_100003355,0.012664485870394083
Drug_5359,0.012608097271644206
Drug_149096,0.012509089383141513
Drug_3333,0.012425817847778322
Drug_5411,0.012276322492953063
Drug_123690938,0.012122237368462118
Drug_119607,0.012023885161340238
Drug_100068740,0.011755711476587912
Drug_23690938,0.011743909211733286
Drug_100005076,0.011634410421137593
Drug_100003156,0.011467211669030397
Drug_3826,0.011172155047664757
Drug_3957,0.011166909596618257
Drug_119,0.010915783627767057
Drug_5353980,0.010913160902243807
Drug_100001993,0.010904637044293244
Drug_3241,0.010793826890935925
Drug_2474,0.010705309904526233
Drug_100009904,0.010658756526488544
Drug_5736,0.010641708810587418
Drug_2284,0.010549913417273663
Drug_100119182,0.010426645317680906
Drug_100002662,0.010314523801561963
Drug_3447,0.010209614780631959
Drug_2132,0.01018928865782677
Drug_3074,0.010037170577478261
Drug_77998,0.00986079228603969
Drug_100005726,0.009817517314906063
Drug_100000785,0.009700806029121432
Drug_100004691,0.00968965944564762
Drug_100004036,0.009411650540183105
Drug_5327147,0.009195275684514968
Drug_3005572,0.009190685914849282
Drug_100051634,0.009181506375517906
Drug_100002958,0.009165114340997592
Drug_6013,0.009136264360241841
Drug_100148121,0.009096923477393088
Drug_3658,0.009092989389108214
Drug_39764,0.009053648506259462
Drug_103052762,0.009015618986172334
Drug_100054454,0.008557297700984373
Drug_16362,0.008509432960185059
Drug_5362440,0.008500909102234496
Drug_100003209,0.008489762518760683
Drug_441336,0.008455667086958432
Drug_5508,0.00840845802753993
Drug_100152945,0.008407802346159116
Drug_100002551,0.008333054668746488
Drug_4764,0.008140284342787603
Drug_100082148,0.008123236626886477
Drug_100000444,0.007832114093805713
Drug_9417,0.007825557279997586
Drug_3348,0.007649178988559015
Drug_3158,0.007613116512614326
Drug_100004935,0.007598035840855637
Drug_39186,0.007569841541480699
Drug_60936,0.007503617722018633
Drug_5284596,0.00749771658959132
Drug_100004865,0.007459687069504193
Drug_116158473,0.0074478848046495676
Drug_3052762,0.007365268950667188
Drug_100002130,0.007202004286844867
Drug_100003365,0.007175777031612366
Drug_392622,0.007152172501903115
Drug_100006238,0.007132502060478739
Drug_100004454,0.007128567972193863
Drug_4417,0.007082014594156173
